year;total_accidents;material_accidents;non_material_accidents;dead_at_scene;injured
2002;   439 777;   374 029;   65 748;   4 093;   116 412
2003;   455 637;   388 606;   67 031;   3 946;   118 214
2004;   537 352;   460 344;   77 008;   4 427;   136 437
2005;   620 789;   533 516;   87 273;   4 505;   154 086
2006;   728 755;   632 627;   96 128;   4 633;   169 080
2007;   825 561;   718 567;   106 994;   5 007;   189 057
2008;   950 120;   845 908;   104 212;    4 236;   184 468
2009;  1 053 346;   942 225;   111 121;   4 324;   201 380
2010;  1 106 201;   989 397;   116 804;   4 045;   211 496
2011;  1 228 928;  1 097 083;   131 845;   3 835;   238 074
2012;  1 296 634;  1 143 082;   153 552;   3 750;   268 079
2013;  1 207 354;  1 046 048;   161 306;   3 685;   274 829
2014;  1 199 010;  1 030 498;   168 512;   3 524;   285 059
2015;  1 313 359;  1 130 348;   183 011;   3 831;   304 421
2016;  1 182 491;   997 363;   185 128;   3 493;   303 812
2017;  1 202 716;  1 020 047;   182 669;   3 534;   300 383
2018;  1 229 364;  1 042 832;   186 532;   3 368;   307 071
2019;  1 168 144;   993 248;   174 896;   2 524;   283 234
2020;   983 808;   833 533;   150 275;   2 197;   226 266
2021;  1 186 353;   998 390;   187 963;   2 421;   274 615
2022;  1 232 957;  1 035 696;   197 261;   2 282;   288 696
2023;  1 314 136;  1 079 065;   235 071;   2 984;   350 855
